Nombre;Correo;Telefono;curso 
sergio;sergio@fje.edu;2324324;ASIX1 
Ian;Ian@gmail.com;646539853;ASIX1 
Julio Cesar;Juliocesar@gmail.com;648124904;ASIX1 
Yeray;yeray@fje.edu;642831749;ASIX1 
Pablo;pablo@gmail.com;649122673;ASIX1 
Pablo;pablo@gmail.com;649122673;ASIX1 
Jorge;jorge@gmail.com;642879174;ASIX1 
Wilson;wilson@gmail.com;649127649;ASIX1 
Sheila;sheila@gmail.com;643790013;ASIX1 
MarioT;mario@gmail.com;641667722;ASIX1 
Hugo;hugo@gmail.com;640987811;ASIX1 
Ricard;ricard@gmail.com;683758319;ASIX1 
Carlos;carlos@gmail.com;635238499;ASIX1 
Manel;manel@gmail.com;648132879;ASIX1 
AlexM;alexm@gmail.com;648129930;ASIX1 
Raul;raul@gmail.com;649928448;ASIX1 
Francesc;francesc@gmail.com;648888219;ASIX1 
Pol;pol@gmail.com;645567384;ASIX1 
Guillem;guillem@gmail.com;644789910;ASIX1 
Joel;joel@gmail.com;698561109;ASIX1 
Sergi;sergi@gmail.com;64781980;ASIX1 
David;david@gmail.com;648430917;ASIX1 
SergioL;sergiol@gmail.com;649014877;ASIX1 
Eric;eric@gmail.com;649123999;ASIX1 
Hector;hector@gmail.com;648791230;ASIX1 
Iker;iker@gmail.com;642986543;ASIX1 
AlexG;alexg@gmail.com;648912356;ASIX1 
AlexF;alexf@gmail.com;648901237;ASIX1 
